date,sentiment,total_volume,total_pnl,trade_count
2024-04-10,Extreme Greed,102.5007,5207.443414,41
2024-04-11,Extreme Greed,21.5697,389.743164,16
2024-04-12,Extreme Greed,21920455.0583,-592.6458390000001,129
2024-04-13,Greed,7766240.200999999,6621.451755,89
2024-04-14,Greed,120136.0098,-36104.012520000004,107
2024-04-15,Greed,262459.9098,3774.08872,41
2024-04-16,Greed,239273.0,2467.702221,47
2024-04-17,Greed,19114.0,2441.4683999999997,14
2024-04-19,Greed,109.9409,1946.4454620000001,35
2024-04-20,Greed,363824.8279,0.0,22
2024-04-22,Greed,14.9861,0.0,9
2024-04-23,Greed,187970.3303,1119.536196,66
2024-04-24,Greed,43.8207,279.185907,20
2024-04-25,Greed,388643.183,0.0,74
2024-04-26,Greed,41052.0,0.0,3
2024-04-27,Greed,47.3826,4281.488139,27
2024-04-28,Greed,137073.191,0.0,58
2024-04-29,Greed,32635.166100000002,526.9338359999999,45
2024-04-30,Greed,41.3869,0.0,24
2024-05-01,Neutral,29.825,0.0,14
2024-05-03,Neutral,42527.4724,5306.017045,36
2024-05-04,Greed,579928.2829,0.0,9
2024-05-05,Greed,15.6288,0.916,6
2024-05-06,Greed,66.07939999999999,968.59038,9
2024-05-07,Greed,619867.0196,883.537693,18
2024-05-08,Greed,239.8835,1.56576,13
2024-05-09,Greed,34670.3984,1147.595856,28
2024-05-10,Greed,53.3457,2101.741695,22
2024-05-11,Neutral,21.6418,251.604742,9
2024-05-12,Greed,34544.4206,0.0,23
2024-05-13,Greed,31390.7581,2136.853859,28
2024-05-14,Greed,50.1051,1150.5233050000002,23
2024-05-15,Greed,80.1172,948.970582,36
2024-05-16,Greed,26494.2319,214.5898,27
2024-05-18,Greed,40.4257,3522.3946610000003,25
2024-05-19,Greed,9.7416,0.0,8
2024-05-20,Greed,640.7617,-74.818442,10
2024-05-21,Extreme Greed,17074.50976,7289.397571999999,125
2024-05-22,Extreme Greed,12.0525,0.0,6
2024-05-23,Extreme Greed,2935200.9914,413.347329,325
2024-05-24,Greed,13.2158,821.949278,2
2024-05-25,Extreme Greed,8573.662,14.126038999999999,16
2024-05-26,Extreme Greed,5659.602,778.6839,16
2024-05-27,Greed,1411508.5206,1129.35587,251
2024-05-29,Greed,226315.75152,277.791953,164
2024-05-30,Greed,565.27578,20.951433,7
2024-05-31,Greed,86903.8,25.35812,13
2024-06-01,Greed,499938.0,91.510419,25
2024-06-02,Greed,31288.5,192.906947,93
2024-06-03,Greed,19199.3,562.808208,70
2024-06-04,Greed,2483.33818,52.211438,53
2024-06-05,Extreme Greed,2452.07392,56.055506,54
2024-06-06,Extreme Greed,71093.724,274.173187,234
2024-06-07,Extreme Greed,272861.1558,8902.467416,440
2024-06-08,Greed,2425.2625000000003,129.13883900000002,29
2024-06-09,Extreme Greed,479.66769999999997,0.0,17
2024-06-10,Greed,5358.5419,31.266804999999998,53
2024-06-11,Greed,14340.01016,4320.631811,123
2024-06-12,Greed,37105.51234,-21886.531493,254
2024-06-13,Greed,9103.9073,6632.757115,79
2024-06-14,Greed,11996.0793,10258.592609,31
2024-06-15,Greed,19129.9948,3369.958346,78
